SERIE,ESTADO,ESPECIFICACAO,AR-CONDICIONADO,STATUS
400/1000,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
400/1000,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
400/1000,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
400/1000,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
400/1000,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
400/1000,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,REFORMADO,MPE,COM AR,OPERACIONAL
500,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
500,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
500,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
500,ANTIGO,ANTIGO,SEM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
700,REFORMADO,TTRANS,COM AR,OPERACIONAL
